EmployeeID,AttritionProbability,RiskLevel,TopRiskFactors,RecommendedRetentionAction
1024,0.0596,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1025,0.0458,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1026,0.0361,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1027,0.0655,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1028,0.133,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1029,0.0825,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1030,0.3058,Medium,Manager Stability Score; Environment Satisfaction; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1032,0.197,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1033,0.8682,High,Burnout Risk Index; Environment Satisfaction; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1034,0.1372,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1035,0.0496,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1036,0.4506,Medium,Num Companies Worked; Manager Stability Score; Department Research & Development,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1037,0.8632,High,Num Companies Worked; Stock Option Level; Job Involvement,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1038,0.7365,High,Job Involvement; Environment Satisfaction; Years Since Last Promotion,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
1039,0.0681,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1040,0.0119,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1042,0.5254,Medium,Stock Option Level; Promotion Delay Risk; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1043,0.1734,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1044,0.1251,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1045,0.0296,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1046,0.1773,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1047,0.0103,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1048,0.1305,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1049,0.496,Medium,Satisfaction Composite Score; Stock Option Level; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1050,0.2265,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1052,0.7056,High,Manager Stability Score; Num Companies Worked; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1053,0.7748,High,Burnout Risk Index; Num Companies Worked; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1055,0.5384,Medium,Monthly Income; Manager Stability Score; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1056,0.8624,High,Manager Stability Score; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1060,0.0533,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1061,0.0926,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1062,0.1024,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1066,0.5214,Medium,Burnout Risk Index; Satisfaction Composite Score; Years Since Last Promotion,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1068,0.0627,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1069,0.1061,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1070,0.4935,Medium,Manager Stability Score; Num Companies Worked; Department Research & Development,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1071,0.0757,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1073,0.1106,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1074,0.1645,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1076,0.3351,Medium,Manager Stability Score; Num Companies Worked; Daily Rate,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1077,0.8857,High,Burnout Risk Index; Monthly Income; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1079,0.9639,High,Monthly Income; Manager Stability Score; Stock Option Level,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1080,0.1162,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1081,0.2034,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1082,0.3242,Medium,Satisfaction Composite Score; Stock Option Level; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1083,0.1656,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1084,0.1255,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1085,0.0359,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1088,0.0397,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1092,0.1103,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1094,0.0821,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1096,0.0446,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1097,0.0991,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1098,0.0686,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1099,0.1368,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1100,0.842,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1101,0.8251,High,Travel Burden Score; Stock Option Level; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1102,0.3068,Medium,Monthly Income; Environment Satisfaction; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1103,0.1198,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1105,0.6991,Medium,Burnout Risk Index; Manager Stability Score; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1106,0.5742,Medium,Work Life Balance; Age; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1107,0.8808,High,Manager Stability Score; Total Working Years; Training Times Last Year,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1108,0.9332,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1109,0.0622,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1111,0.8776,High,Manager Stability Score; Total Working Years; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1113,0.6686,Medium,Burnout Risk Index; Manager Stability Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1114,0.0961,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1115,0.0396,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1116,0.0286,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1117,0.0336,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1118,0.2703,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1119,0.2442,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1120,0.044,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1121,0.0713,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1124,0.1365,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1125,0.3176,Medium,Num Companies Worked; Manager Stability Score; Department Research & Development,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1126,0.0859,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1127,0.5613,Medium,Num Companies Worked; Environment Satisfaction; Years Since Last Promotion,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
1128,0.067,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1131,0.3811,Medium,Stock Option Level; Work Life Balance; Total Working Years,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1132,0.1445,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1133,0.0382,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1135,0.1866,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1136,0.6193,Medium,Satisfaction Composite Score; Stock Option Level; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1137,0.0885,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1138,0.2357,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1140,0.1344,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1143,0.1075,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1148,0.4227,Medium,Manager Stability Score; Stock Option Level; Job Involvement,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1150,0.1851,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1152,0.2078,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1154,0.351,Medium,Burnout Risk Index; Overtime Risk Score; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1156,0.7929,High,Manager Stability Score; Monthly Income; Training Times Last Year,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1157,0.7994,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1158,0.2335,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1160,0.607,Medium,Burnout Risk Index; Total Working Years; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1161,0.1429,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1162,0.0335,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1163,0.3296,Medium,Stock Option Level; Satisfaction Composite Score; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1164,0.2244,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1165,0.7405,High,Burnout Risk Index; Relationship Satisfaction; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1166,0.1886,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1167,0.8571,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1171,0.1764,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1172,0.0737,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1173,0.4595,Medium,Num Companies Worked; Age; Stock Option Level,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1175,0.9305,High,Burnout Risk Index; Manager Stability Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1177,0.06,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1179,0.1083,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1180,0.1483,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1182,0.1782,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1184,0.0577,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1185,0.2488,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1188,0.8824,High,Job Involvement; Environment Satisfaction; Num Companies Worked,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1190,0.4139,Medium,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1191,0.0783,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1192,0.187,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1193,0.6366,Medium,Manager Stability Score; Stock Option Level; Total Working Years,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1195,0.2925,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1196,0.0172,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1198,0.6917,Medium,Stock Option Level; Total Working Years; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1200,0.1294,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1201,0.0666,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1202,0.4221,Medium,Burnout Risk Index; Monthly Income; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1203,0.2923,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1204,0.2968,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1206,0.0427,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1207,0.1092,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1210,0.3209,Medium,Manager Stability Score; Environment Satisfaction; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1211,0.4261,Medium,Num Companies Worked; Age; Department Research & Development,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1212,0.2747,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1215,0.0284,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1216,0.185,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1217,0.1917,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1218,0.1944,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1219,0.929,High,Manager Stability Score; Burnout Risk Index; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1220,0.3621,Medium,Burnout Risk Index; Manager Stability Score; Relationship Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1221,0.0939,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1224,0.3116,Medium,Relationship Satisfaction; Years Since Last Promotion; Age,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
1225,0.1676,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1226,0.5424,Medium,Total Working Years; Stock Option Level; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1228,0.0899,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1231,0.0514,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1233,0.0452,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1234,0.2986,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1235,0.3637,Medium,Burnout Risk Index; Stock Option Level; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1237,0.1653,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1238,0.026,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1239,0.2627,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1240,0.1119,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1241,0.06,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1242,0.2873,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1243,0.2268,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1244,0.523,Medium,Burnout Risk Index; Monthly Income; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1245,0.239,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1246,0.0311,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1248,0.9293,High,Work Life Balance; Manager Stability Score; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1249,0.0619,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1250,0.0342,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1251,0.3742,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1252,0.3199,Medium,Stock Option Level; Satisfaction Composite Score; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1254,0.1228,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1255,0.0323,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1256,0.0943,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1257,0.2046,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1258,0.4757,Medium,Manager Stability Score; Num Companies Worked; Stock Option Level,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1259,0.0622,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1260,0.0953,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1263,0.0393,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1264,0.0131,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1265,0.2118,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1267,0.1517,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1268,0.0515,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1269,0.4899,Medium,Stock Option Level; Total Working Years; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
1270,0.0536,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1273,0.9831,High,Burnout Risk Index; Monthly Income; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1275,0.4908,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1277,0.8327,High,Burnout Risk Index; Job Involvement; Environment Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1278,0.1113,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1279,0.8903,High,Burnout Risk Index; Stock Option Level; Total Working Years,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1280,0.0768,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1281,0.3687,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1282,0.33,Medium,Burnout Risk Index; Overtime Risk Score; Years Since Last Promotion,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1283,0.0869,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1285,0.0993,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1286,0.5722,Medium,Burnout Risk Index; Monthly Income; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1288,0.0288,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1289,0.0941,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1291,0.1538,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1292,0.1752,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1293,0.0987,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1294,0.2533,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1295,0.0754,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1296,0.4373,Medium,Burnout Risk Index; Total Working Years; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1297,0.5967,Medium,Burnout Risk Index; Stock Option Level; Promotion Delay Risk,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1298,0.2928,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1299,0.6811,Medium,Satisfaction Composite Score; Relationship Satisfaction; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1301,0.1617,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1303,0.2998,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1304,0.0646,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1306,0.4079,Medium,Burnout Risk Index; Stock Option Level; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1307,0.2594,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1308,0.0768,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1309,0.4601,Medium,Manager Stability Score; Relationship Satisfaction; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1310,0.6295,Medium,Satisfaction Composite Score; Stock Option Level; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1311,0.2387,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1312,0.0523,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1314,0.1205,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1315,0.0781,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1317,0.2059,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1318,0.8294,High,Burnout Risk Index; Manager Stability Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1319,0.9526,High,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1321,0.2871,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1322,0.3206,Medium,Satisfaction Composite Score; Relationship Satisfaction; Stock Option Level,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1324,0.2916,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1329,0.2114,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1331,0.8402,High,Work Life Balance; Monthly Income; Stock Option Level,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1333,0.3305,Medium,Work Life Balance; Satisfaction Composite Score; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1334,0.0814,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1336,0.1431,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1338,0.1795,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1340,0.0565,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1344,0.0406,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1346,0.0403,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1349,0.076,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1350,0.3744,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1352,0.069,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1355,0.1335,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1356,0.2781,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1358,0.1829,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1360,0.854,High,Burnout Risk Index; Stock Option Level; Training Times Last Year,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1361,0.0399,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1362,0.1517,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1363,0.0447,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1364,0.1852,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1367,0.0406,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1368,0.554,Medium,Manager Stability Score; Monthly Income; Work Life Balance,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
1369,0.0505,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1371,0.306,Medium,Manager Stability Score; Stock Option Level; Job Involvement,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1372,0.854,High,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1373,0.1511,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1374,0.1106,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1375,0.0198,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1377,0.2883,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1379,0.7883,High,Work Life Balance; Manager Stability Score; Num Companies Worked,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
1380,0.6712,Medium,Burnout Risk Index; Training Times Last Year; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1382,0.0217,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1383,0.0235,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1387,0.225,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1389,0.302,Medium,Burnout Risk Index; Overtime Risk Score; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1390,0.2037,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1391,0.6416,Medium,Stock Option Level; Satisfaction Composite Score; Promotion Delay Risk,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
1392,0.247,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1394,0.212,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1395,0.3867,Medium,Num Companies Worked; Work Life Balance; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1396,0.4797,Medium,Burnout Risk Index; Satisfaction Composite Score; Relationship Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1397,0.0217,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1399,0.5078,Medium,Stock Option Level; Satisfaction Composite Score; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
1401,0.0656,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
1402,0.4454,Medium,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1403,0.5465,Medium,Burnout Risk Index; Stock Option Level; Promotion Delay Risk,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1405,0.8558,High,Burnout Risk Index; Stock Option Level; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
1407,0.03,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
